Variable,thermal_sensitivity,mean_stream_temp_c,mean_air_temp_c,channel_slope,solar_exposure,elevation_m,base_flow_index,summer_mean_max_air_temp_c,summer_max_air_temp_c,annual_precip_mm,summer_precip_mm,summer_mean_air_temp_c,wet_season_precip_mm,developed_upstream_pct,lakes_upstream_pct,agricultural_upstream_pct,burned_upstream_pct,road_density_upstream,high_cascades_upstream_pct,wetlands_upstream_pct,veg_cover_upstream_pct,veg_height_upstream_m,forest_upstream_pct,shrub_upstream_pct,upstream_area_km2,burned_reach_pct,agricultural_reach_pct,wetlands_reach_pct,lakes_reach_pct,high_cascades_reach_pct,developed_reach_pct,road_density_reach,veg_cover_reach_pct,veg_height_reach_m,developed_buffer_pct,agricultural_buffer_pct,burned_buffer_pct,wetlands_buffer_pct,lakes_buffer_pct,high_cascades_buffer_pct,road_density_buffer,veg_height_buffer_m,veg_cover_buffer_pct
summer_precip_mm,1.3738524200657132e-4,0.04829315783425914,6.129499952622908e-5,0.2745557055324457,0.3434563422860113,0.25712590262023904,0.02950241845793089,5.057966934174374e-9,0,0.04291729198062666,NA,0.0012892260335721772,0.07567918459500689,0.6778549226298338,0.587875654182477,0.8997897455886565,0.9815800553107257,9.757134108614451e-4,1.706304741944109e-8,0.6137354622072753,0.7873132703560866,0.02679577457275517,0.0277414298726244,0.17652844195189843,0.10510647042247223,0.07308074909698403,0.7407082545537484,0.35537023575850535,0.051681925756853264,1.8445516717591204e-5,0.8895468989240345,5.559104446346552e-4,0.49057439586657536,0.36453395334705685,0.8640290229987653,0.12148620772543484,0.24734856574531117,0.10458146247151978,0.10402523806233788,2.2751761937289672e-4,0.20412029740406923,0.680140911090904,0.4068554948978824
summer_mean_air_temp_c,7.236219488115925e-4,2.5366597711240502e-11,0,4.975426009412587e-6,0.07932186143605247,3.9968028886505635e-15,1.76596204326529e-9,0,3.064215547965432e-14,0,0.0012892260335721772,NA,4.440892098500626e-16,1.6327796892312563e-9,0.8831868811869661,1.3863994396956514e-9,0.06381930814885783,2.1180583022140098e-5,0.055181967509316365,1.0324616174939294e-4,0.0023151886025267743,0.0015138708958275515,0.37404944449737765,0.07554456552800382,0.005484601200315353,0.16054761180078492,2.5075053144973936e-10,1.1547525584454377e-4,0.005685982755596397,4.857788234162719e-4,1.7057644186024845e-10,2.365424370154301e-6,1.5794505703325967e-9,3.6263107627831914e-8,5.209489839508308e-8,5.551115123125783e-15,0.4801571263630082,7.036559268285281e-4,0.007075480364979292,0.004214711547156469,0.06259044320338614,9.31318044905538e-9,6.714099076710056e-8
wet_season_precip_mm,8.180568918270126e-6,1.2558891704372854e-9,3.284128524683183e-11,0.0021716015862898175,0.08191733387658418,0,4.440892098500626e-16,4.1744385725905886e-12,4.467879257674667e-6,0,0.07567918459500689,4.440892098500626e-16,NA,0,0.9685052720839238,0,0.0020010197686972653,4.4869974358263676e-7,0.004981633125630047,3.804107244764765e-6,3.3151052170943274e-5,1.6658026431581874e-6,0.02354566971877592,0.12320054273819459,0.3245450754150494,0.004290007552935293,0,4.178342589211681e-5,1.2637430204076594e-5,5.811129276112048e-4,0,0.004861364484398001,5.839773109528323e-13,7.549516567451064e-14,7.431388837630948e-12,1.3322676295501878e-15,0.029363154980861284,2.718765306841675e-5,7.483736351954207e-6,0.002807555947938134,0.9067088997383053,8.980319821105809e-9,4.089902321569028e-5
developed_upstream_pct,5.650635515053182e-11,9.144551782469534e-11,5.2549115281408376e-8,0.13964200602425225,0.04818401827629737,0,0,2.3400344417723318e-7,0.006880285865531022,0,0.6778549226298338,1.6327796892312563e-9,0,NA,0.8974214956344766,0,1.1664968907831863e-4,3.569996546426424e-5,3.578309648588629e-8,2.161742399309219e-6,1.428002160963615e-10,1.2878587085651816e-14,8.72347849734112e-6,0.06659410680532396,0.12634889433626162,0.0011589991096281338,0,2.5658969174280344e-5,6.281119677709057e-7,1.0926654363041521e-4,0,0.19671374383537277,4.858335955759685e-13,0,3.552713678800501e-15,0,0.039178116676977126,5.5171510437102e-5,4.6971799161354966e-7,0.0015673508384979051,0.6310798110921827,3.2984419662263065e-6,0.007752327723088426
lakes_upstream_pct,0.19690788011752036,0.7704898131379729,0.9813454821558056,0.004242969518546413,0.052611869698667935,0.7433702897358965,0.8075937892199647,0.7422441265416595,0.7651164620485595,0.8482152997907253,0.587875654182477,0.8831868811869661,0.9685052720839238,0.8974214956344766,NA,0.8507992425190576,4.6166831581651024e-5,0.16151874497155028,0.007319720648530481,7.327144846414058e-8,0.12646579262724278,0.45035230051759356,0.36573202836104457,1.0776635466358542e-4,6.760326048418364e-4,0.03430105215001955,0.531434098790613,0.04785976441328099,0.06716254695705404,0.07656951405725798,0.46381128317990106,0.39336409705371667,0.36699388019313806,0.9002855918006842,0.6724540213082917,0.5809597911615136,0.1744844006430768,0.22174997311988687,0.2762180240397627,0.18448388192127352,0.35869113164490907,0.20042862910343873,0.04643248456324933
agricultural_upstream_pct,6.88983980978719e-10,3.739009102332602e-10,1.372752311823433e-8,0.09651829620713626,0.11778532896821092,4.440892098500626e-15,0,6.47783089391396e-8,0.0027322068660815546,0,0.8997897455886565,1.3863994396956514e-9,0,0,0.8507992425190576,NA,1.664210710783376e-4,7.84160298294978e-5,2.177830116245616e-7,9.240784577535521e-7,2.118307751430848e-10,2.220446049250313e-13,5.580787298731238e-6,0.04923026308605838,0.12595559721467464,9.368441491170998e-4,0,2.047580741004751e-5,6.40651045946683e-6,1.6316213399236723e-4,0,0.1317899860092151,1.481703648664734e-12,0,7.736034035588091e-13,0,0.032252859987603966,6.914061948370964e-5,1.7693857875311636e-5,0.0020430848841275218,0.9151818902177835,1.9276397975609427e-6,0.00758278136682744
burned_upstream_pct,0.03927050455648251,0.8429259261146189,0.08883554567120466,0.010242111529067843,5.7902927445896424e-5,0.08623604992772815,0.0010852791936650785,0.06565401125986825,0.5726741735494474,0.0018480093670794062,0.9815800553107257,0.06381930814885783,0.0020010197686972653,1.1664968907831863e-4,4.6166831581651024e-5,1.664210710783376e-4,NA,0.017533201656402486,0.005502037783184033,0.2572068009599471,0.4615752086913192,0.59166843711558,0.09424585929096052,0,7.189092793247198e-5,8.449135835419952e-9,0.003395845755524096,0.9747468122054861,0.08705742509228509,0.018160365794801514,0.013002084656822177,0.8726888398779811,0.6301683507896574,0.04661763341089453,0.02052087262328728,0.12216765497438109,1.789882014202604e-5,0.5881614173472662,0.10356060930283628,0.05024787894944405,0.32263093442866797,0.8021622496894083,0.01461291968784395
road_density_upstream,0.8330258860340551,0.14256650264462478,6.219443481558784e-6,0.4850690650156033,0.38062508475153045,0.002444506611228192,0.0036258604097054725,3.3088610345011205e-6,3.1365036862851525e-5,1.9109051407895095e-7,9.757134108614451e-4,2.1180583022140098e-5,4.4869974358263676e-7,3.569996546426424e-5,0.16151874497155028,7.84160298294978e-5,0.017533201656402486,NA,0.4494238229355003,2.1219607726696843e-4,0.015320244439000374,0.013203909326895191,0.034488792102753685,0.004754362486582897,0.5050398492126786,0.03600583415027225,2.0831416767164157e-4,0.1917859986582724,0.036354600376008905,0.6214929360222778,1.129465127780449e-5,0.0015555459852183429,2.781055855387571e-4,2.1085293752864942e-4,4.070315408277736e-5,3.839562864627055e-5,0.04158266284709411,0.038811228239282736,0.02568375110243437,0.8217208288314393,0.018833126802427547,1.0448261276341242e-4,0.007214692674746059
high_cascades_upstream_pct,8.881784197001252e-16,1.8175396521158405e-8,0.2741028648402435,0.577912502344414,0.0042793555504596625,2.0072466755394203e-7,3.730349362740526e-13,0.8566973837828684,0.03953753794620818,0.008026487229533252,1.706304741944109e-8,0.055181967509316365,0.004981633125630047,3.578309648588629e-8,0.007319720648530481,2.177830116245616e-7,0.005502037783184033,0.4494238229355003,NA,0.25606047875179394,3.88080072799335e-4,7.951078906387465e-9,6.643624182900432e-5,0.29316226561063874,0.007572483115649398,0.6774489681983635,5.279150674830646e-6,0.11220590657151663,7.771145892965237e-4,1.865396725975188e-12,1.4669650946208534e-5,0.0764746236418068,1.0024676187692094e-4,7.86258125007322e-6,8.961289792883687e-4,0.0016705386787387866,0.8924149711212825,0.5361239066787913,0.004703568651446277,2.923940640719991e-7,0.40335235149278725,0.1139292625791466,0.4142956289728854
wetlands_upstream_pct,0.04640007976003213,0.0032218197226629997,0.0014947799769104986,0.06878557611796365,0.11009035958657343,1.288574615188054e-5,1.2256972774737918e-5,6.549347417896811e-4,0.026637498926962655,4.5292612460556825e-6,0.6137354622072753,1.0324616174939294e-4,3.804107244764765e-6,2.161742399309219e-6,7.327144846414058e-8,9.240784577535521e-7,0.2572068009599471,2.1219607726696843e-4,0.25606047875179394,NA,3.8688344477844083e-4,4.756481163723514e-4,0.021727957593483893,0.6342376518459913,0.6066768384352883,0.1743920338107685,3.5240759976851166e-6,0.001969196080760849,6.09685684755279e-4,0.08630432290087953,8.929320107764482e-6,0.026195854621029913,1.2086239644615304e-4,3.546272924386251e-4,2.2795222274463178e-4,1.016854224200614e-5,0.26723694265176934,0.013617435059850802,0.009826767550817905,0.0804248843190265,0.6791524569162088,0.002352765056194528,0.016660003221556696
