index,site,x,y,thermalSensitivity,intercept,rSquared,adjRSquared,rmse,meanStreamTemp,meanAirTemp,sdStreamTemp,sdAirTemp,minStreamTemp,maxStreamTemp,minAirTemp,maxAirTemp,rangeStreamTemp,rangeAirTemp,Stream_Nam,GPS_lat_,GPS_long_,GRIDCODE,Max7DADM,SLOPE,Solar,Elev,BFI,h2oDevelop,h2oLakesPe,h2oAgricul,h2oBurnPer,h2oRdDens,h2oHiCascP,h2oWetland,h2oVegCov,h2oVegHt,Forest21,Shrub21,h2oKm2,BurnRCA,AgricultRC,WetlandsRC,LakesRCA,HiCascRCA,DevelopRCA,RoadsRCA,VegCover,VegHeight_,DevelopBuf,AgBuf,BurnBuf,WetlandBuf,LakesBuf,HiCascBuf,RoadsBuf,VegHtBuf,VegCovBuf,MeanMaxAir,MaxAir_C,Precip_mm,SumPrecip,MeanAirJJA,WetPrecip
11,20739666,-122.4762,45.3576,0.526,9.508,0.747,0.743,0.948,20.864,21.573,1.87,3.07,16.679,24.063,14.528,29.466,7.384,14.938,CLEAR CREEK,45.3576,-122.4762,479530,27.1029,0.0044,-0.1099,55.8068,50,0.0367,0.0014,0.2106,0.0391,1.188,0,0.0064,39.6924,14.2961,0.4889,0.2492,166.8385,0,0.5063,4e-4,0.0014,0,0.033,0.4206,19.8372,7.362,0,0.208,0,0.0026,0,0,0,13.9647,36.8415,27.4801,29.2767,1256.059,135.6103,20.1872,991.2317
12,10808788,-122.30155,45.35368,0.436,11.458,0.681,0.676,0.914,20.004,19.622,1.605,3.04,16.231,22.749,12.36,27.813,6.518,15.453,DEEP CREEK,45.3537,-122.3016,479835,24.9549,0.0168,-0.0552,222.815,51.33,0.0371,0.0033,0.1912,0,1.0585,0,0.0115,40.1698,14.8336,0.625,0.0709,11.8197,0,0.2493,0.0123,0.002,0,0.052,1.4746,40.4152,15.0545,0.0692,0.023,0,0.033,0.014,0,2,18.0453,50.3162,25.8945,27.4481,1341.4548,161.1668,18.4054,1050.4932
13,20941693,-122.38197,45.35093,0.452,10.917,0.76,0.756,0.777,20.592,21.422,1.574,3.038,17.336,23.465,14.232,29.214,6.129,14.981,EAGLE CREEK,45.3509,-122.382,479692,26.0393,0.0068,-0.1586,63.4875,51.08,0.022,0.0013,0.1044,8e-4,1.113,0,0.007,51.0006,17.6548,0.7546,0.1039,232.4503,0.0271,0.6126,0.0504,0.0013,0,0.1273,3.0066,13.0845,4.8049,0.0341,0.0986,0.054,0.1578,0.0109,0,0.7763,12.0293,31.8481,27.1138,28.8924,1283.6014,146.3672,19.7996,1002.5091
14,20733159,-122.38532,45.35086,0.214,15.572,0.368,0.358,0.86,20.166,21.422,1.073,3.038,17.137,21.252,14.232,29.214,4.115,14.981,CLACKAMAS RIVER,45.3509,-122.3853,479418,23.3663,0.0029,-0.1209,61.6407,51,0.0038,0.0064,0.0091,0.1151,1.3492,0.2127,0.007,58.1679,21.8912,0.7559,0.2167,1781.361,0.004,0.0942,0.091,3e-4,0,0.11,3.1387,32.7716,12.7244,0,0,0,0.1396,0.0082,0,0,9.3203,24.0758,27.4803,29.2985,1281.7617,145.5753,20.193,1005.201
15,2400469,-122.33817,45.3409,0.517,8.548,0.793,0.789,0.812,19.394,20.985,1.768,3.045,15.701,22.696,13.68,29.007,6.995,15.327,EAGLE CREEK,45.3409,-122.3382,479834,24.5676,0.0102,-0.0942,144.303,52.05,0.0135,0.0012,0.0561,0,0.9436,0,0.0042,54.5184,18.8238,0.7813,0.1028,209.3283,5e-4,0.2894,0.0113,0.0014,0,0.0738,1.9293,31.832,11.7797,0.0361,0.0329,0.0028,0.0543,0.0013,0,1.3148,18.6611,49.8437,26.5155,28.1563,1306.0242,152.7947,19.1268,1018.2614
16,10951006,-122.14853,45.3377,0.317,8.268,0.691,0.686,0.776,14.042,18.24,1.385,3.637,11.705,17.009,10.452,27.007,5.304,16.556,TROUT CREEK,45.3377,-122.1485,480185,17.5603,0.0646,-0.0258,488.237,53.49,0.001,0.014,0,0,0.8585,0,0.0098,55.3588,16.9932,0.7226,0.0748,5.3818,0,0,0.0098,0.014,0,0.001,0.8585,55.3588,16.9932,0,0,0,0.0325,0.0097,0,0.2145,19.6047,60.8633,22.8377,24.6159,2034.4483,210.4989,16.6658,1643.5598
17,20941696,-122.34935,45.33218,0.385,11.882,0.681,0.676,0.808,19.96,20.985,1.42,3.045,16.993,22.621,13.68,29.007,5.628,15.327,CURRIN CREEK,45.3322,-122.3494,480360,22.7504,0.0154,-0.1313,117.932,52.75,0.0905,0.0033,0.5675,1e-4,2.6717,0,0.0238,18.9138,6.9797,0.2151,0.0434,11.1954,5e-4,0.6606,0.0691,0.0074,0,0.1152,2.7961,14.4596,5.3896,0.1374,0.6134,0.0031,0.1654,0.0012,0,3.9286,4.8797,14.0487,27.1779,28.8995,1285.8329,148.2064,19.8736,1000.2312
18,2400473,-122.28082,45.328,0.456,8.042,0.759,0.755,0.787,16.987,19.622,1.591,3.04,13.609,20.116,12.36,27.813,6.507,15.453,BEAR CREEK,45.328,-122.2808,479614,22.0594,0.0405,0.1027,342.892,52.62,0.0535,0.0025,0.1254,0,2.1191,0,0.0054,41.5627,15.2704,0.3146,0.059,10.5919,0,0.1254,0.0054,0.0025,0,0.0535,2.1191,41.5627,15.2704,0.0457,0,0,0.0309,0.0013,0,1.781,20.6304,55.5487,24.2011,25.679,1449.517,172.0304,17.2691,1142.0731
19,20012617,-122.28133,45.32705,0.329,11.33,0.481,0.465,0.647,17.81,19.712,0.884,1.866,15.576,19.343,16.18,23.752,3.767,7.572,NORTH FORK EAGLE CREEK,45.327,-122.2813,479904,22.895,0.0168,0.075,165.95,53.8,0.0049,0.0023,0.0303,0,0.9235,0,0.0055,50.5227,17.2388,0.7944,0.1486,60.561,0,0.0156,1e-4,0,0,0.0197,1.0502,55.2377,20.7515,0.0291,0,0,0.0019,0,0,1.0371,23.5241,63.0693,24.8894,26.3493,1371.2727,164.5456,17.5829,1073.4462
20,20745674,-122.29865,45.32375,0.479,8.722,0.758,0.754,0.83,18.124,19.622,1.673,3.04,14.261,21.333,12.36,27.813,7.072,15.453,EAGLE CREEK,45.3237,-122.2986,479834,23.9747,0.0102,-0.0942,144.303,52.05,0.0116,0.0012,0.0489,0,0.913,0,0.0039,55.2229,19.0425,0.7813,0.1028,203.0238,5e-4,0.2894,0.0113,0.0014,0,0.0738,1.9293,31.832,11.7797,0.0361,0.0329,0.0028,0.0543,0.0013,0,1.3148,18.6611,49.8437,26.5155,28.1563,1306.0242,152.7947,19.1268,1018.2614
21,10808799,-122.24215,45.32027,0.451,8.346,0.751,0.747,0.812,16.598,18.284,1.614,3.099,13.078,19.879,11.177,26.328,6.801,15.151,NORTH FORK EAGLE CREEK,45.3203,-122.2422,479860,20.8994,0.0179,0.1794,246.56,53.48,0.0045,0.0026,0.0061,0,0.826,0,0.0056,52.7133,17.6015,0.8045,0.1288,44.9818,0,0.0886,1e-4,0,0,0,0.491,36.9983,13.5993,0,0,0,0.0019,0,0,0,17.7678,48.5258,24.5856,26.0166,1384.3144,166.5623,17.3196,1084.0579
22,20733156,-122.38411,45.31876,0.19,15.75,0.317,0.305,0.855,19.821,21.422,1.026,3.038,16.892,20.925,14.232,29.214,4.033,14.981,CLACKAMAS RIVER,45.3188,-122.3841,479486,22.3932,0.0027,-0.1262,72.5332,52.41,0.0035,0.0064,0.0071,0.1155,1.3465,0.2136,0.0069,58.3208,21.947,0.7567,0.2166,1773.6634,0.0097,0.2935,0.0271,3e-4,0,0.0773,2.3777,31.2231,12.1912,0.0199,0.1689,0.0382,0.1205,0,0,1.1981,8.2174,22.4629,27.4744,29.2923,1281.8492,145.6413,20.1858,1005.1628
23,2400472,-122.0847,45.30848,0.218,6.96,0.588,0.581,0.797,10.75,17.345,1.231,4.318,8.871,13.711,8.458,26.575,4.84,18.118,NORTH FORK EAGLE CREEK,45.3085,-122.0847,479759,13.7923,0.0762,-0.0276,848.968,57.87,0,0,0,0,1.3226,0,0,73.9641,21.502,0.1849,8e-4,0.5643,0,0,0,0,0,0,1.3226,73.9641,21.502,0,0,0,0,0,0,4.4892,22.5675,70.5781,21.5143,23.8088,2714.1405,237.7808,15.8413,2225.9994
